Date,Zverev,Anderson,Thiem,Nishikori,Isner
01/01/2018,0,0,0,0,0
01/08/2018,0,150,90,0,0
01/15/2018,0,150,90,0,0
01/22/2018,0,150,90,0,0
01/29/2018,90,160,270,0,10
02/05/2018,90,160,270,100,10
02/12/2018,90,160,270,100,10
02/19/2018,135,410,520,190,10
02/26/2018,135,410,610,190,30
03/05/2018,315,710,700,190,30
03/12/2018,315,710,700,190,30
03/19/2018,325,890,745,190,40
03/26/2018,325,890,745,190,40
04/02/2018,925,1070,745,235,1040
04/09/2018,925,1070,745,235,1040
04/16/2018,925,1070,745,235,1085
04/23/2018,1285,1070,925,835,1085
04/30/2018,1285,1070,1015,835,1085
05/07/2018,1435,1070,1015,835,1085
05/14/2018,2435,1430,1615,845,1265
05/21/2018,3035,1440,1625,1025,1275
05/28/2018,3035,1440,1875,1025,1320
06/04/2018,3035,1440,1875,1025,1320
06/11/2018,3395,1620,3075,1205,1500
06/18/2018,3395,1620,3075,1205,1500
06/25/2018,3415,1620,3120,1250,1500
07/02/2018,3415,1620,3120,1250,1500
07/09/2018,3415,1620,3120,1250,1500
07/16/2018,3505,2820,3130,1610,2220
07/23/2018,3505,2820,3130,1610,2220
07/30/2018,3505,2820,3220,1610,2470
08/06/2018,4005,2820,3220,1700,2470
08/13/2018,4185,3180,3230,1710,2560
08/20/2018,4230,3270,3230,1755,2570
08/27/2018,4230,3270,3230,1755,2570
09/03/2018,4230,3270,3230,1755,2570
09/10/2018,4320,3450,3590,2475,2930
09/17/2018,4320,3450,3590,2475,2930
09/24/2018,4320,3450,3840,2565,2930
10/01/2018,4320,3450,3840,2565,2930
10/08/2018,4365,3540,3840,2865,2930
10/15/2018,4725,3720,3850,3045,2930
10/22/2018,4725,3720,3850,3045,3020
10/29/2018,4905,4220,3940,3345,3065
11/05/2018,5085,4310,4300,3525,3155
11/12/2018,5085,4310,4300,3525,3155
11/19/2018,6385,4310,4500,3725,3155
11/26/2018,6385,4310,4095,3590,3155
