name,dvoa,wins,o_dvoa,d_dvoa,s_dvoa
CHI,52.5,15.0,15.1,-33.6,3.8
NYJ,27.4,11.0,12.0,-10.7,4.6
SF,25.6,10.0,23.5,-4.1,-2.1
LARM,19.4,11.0,-7.9,-15.7,11.5
NYG,19.1,10.0,7.0,-13.7,-1.6
LARD,18.3,12.0,-0.2,-14.1,4.5
NE,18.0,11.0,1.3,-14.2,2.5
WAS,13.8,10.0,1.4,-12.6,-0.2
MIA,13.5,12.0,21.8,8.1,-0.2
DAL,8.8,10.0,4.2,-6.3,-1.6
CIN,4.5,7.0,20.2,11.5,-4.1
CLE1,4.3,8.0,0.9,-0.3,3.1
SEA,4.1,8.0,-8.1,-13.2,-1.0
PIT,3.6,7.0,-5.2,-6.8,2.0
DEN,3.4,11.0,4.6,-6.7,-7.9
SD,-0.7,8.0,14.7,14.1,-1.3
PHI,-7.3,7.0,-8.4,0.0,1.1
KC,-8.7,6.0,-4.3,2.3,-2.0
GB,-13.0,8.0,-5.8,0.7,-6.4
MIN,-13.6,7.0,-7.0,4.2,-2.4
IND,-14.2,5.0,-3.8,7.4,-3.1
DET,-14.9,7.0,-12.9,5.1,3.1
STLC,-15.5,5.0,4.6,11.5,-8.6
ATL,-17.2,4.0,-2.3,17.2,2.4
TB,-23.6,2.0,-6.3,15.0,-2.3
NO,-27.9,5.0,-19.8,13.1,5.0
BUF,-35.8,2.0,-26.1,9.7,0.0
HOIL,-40.2,5.0,-22.3,18.7,0.8
CHI,30.4,14.0,-6.9,-33.6,3.7
SF,26.0,10.0,10.1,-16.0,-0.2
NYG,20.4,14.0,4.6,-14.7,1.2
DEN,19.3,11.0,16.4,-1.4,1.5
CIN,18.1,10.0,24.7,0.3,-6.2
MIN,17.0,9.0,12.0,-5.5,-0.5
WAS,16.0,12.0,19.5,5.0,1.5
SEA,13.3,10.0,9.3,0.3,4.3
CLE1,13.1,12.0,9.9,2.8,5.9
LARM,9.7,10.0,2.8,-9.7,-2.8
NE,6.2,11.0,-0.3,-6.5,0.0
LARD,5.9,8.0,-2.9,-5.1,3.6
MIA,3.4,8.0,28.5,21.9,-3.2
NYJ,2.1,10.0,1.9,9.7,9.9
PIT,1.6,6.0,1.3,-4.1,-3.8
