QB,Team,pa_pct,pr,btt_pct,btt_pr,twp_pct,ir_pct,3d_pr,fr_pct,sch_pct,fr_sch_pct,,,
K. Cousins,Minnesota,31.4,107.4,15,119.7,2.5,36,108,67,12,79,,,
M. Trubisky,Chicago,19.7,83.1,13,62.4,3.3,48,81.1,72,13,85,,,
J. Winston,Tampa Bay,17.7,84.3,17,97.1,5.5,42,71.3,68,10,78,,,
D. Brees,New Orleans,17.9,116.3,9,107.2,2.1,42,100.6,65,11,76,,,
K. Allen,Carolina,29.5,79.8,12,35,5.8,43,59.8,74,7,81,,,
M. Ryan,Atlanta,20.6,92.1,10,76.5,3.8,48,103,68,8,76,,,
T. Brady,New England,24.9,88,11,102.1,2.3,42,84.7,67,10,77,,,
S. Darnold,New York Jets,23.7,84.3,13,75.9,4.5,46,75.8,61,11,72,,,
R. Fitzpatrick,Miami,18.6,84.8,14,109.9,2.8,46,64.8,80,6,86,,,
J. Allen,Buffalo,23.1,85.3,16,64.4,3.7,47,92.8,69,9,78,,,
L. Jackson,Baltimore,34.8,113.3,15,111.9,1.5,42,110.4,68,5,73,,,
B. Mayfield,Cleveland,28.7,78.8,15,71.7,3.9,38,65.5,64,14,78,,,
M. Rudolph,Pittsburgh,16.6,82,14,86.9,4.2,42,80.6,67,11,78,,,
A. Dalton,Cincinnati,22.8,78.1,11,66.6,3.7,44,60.7,77,9,86,,,
P. Rivers,Los Angeles Chargers,20.4,88.5,14,59.1,4.9,42,83.6,71,8,79,,,
P. Mahomes,Kansas City,31.9,105.3,14,122.9,2.3,43,116.4,66,10,76,,,
D. Carr,Oakland,21.9,100.8,10,93.1,1.8,44,127.4,64,8,72,,,
D. Lock,Denver,27.9,89.7,7,55.9,4.1,40,117,66,11,77,,,
D. Watson,Houston,25.2,98.6,16,102.8,3.4,39,105.5,68,6,74,,,
R. Tannehill,Tennessee,29.9,117.5,14,112.7,2.1,46,125.6,66,9,75,,,
J. Brissett,Indianapolis,30.6,88.2,11,51.1,2.8,50,89.9,62,9,71,,,
G. Minshew,Jacksonville,14.2,91.2,11,129,3.2,43,83.7,60,7,67,,,
J. Garoppolo,San Francisco,32.1,101.8,7,105.2,3.4,51,101.9,64,15,79,,,
R. Wilson,Seattle,28,106.8,18,119.2,1.6,35,98.2,67,7,74,,,
K. Murray,Arizona,26.9,87.4,13,94.5,2.6,48,85,61,19,80,,,
J. Goff,Los Angeles Rams,32.8,86.5,10,44,4.1,50,94.2,69,11,80,,,
C. Wentz,Philadelphia,30.1,93.1,13,79.4,3.7,45,96,65,12,77,,,
D. Prescott,Dallas,24.9,99.7,13,110.2,3.1,47,101.7,70,6,76,,,
D. Jones,New York Giants,18,87.7,13,74.2,5.9,46,97.4,71,7,78,,,
D. Haskins,Washington,20.4,76.1,14,41.4,2,46,68.5,69,10,79,,,
A. Rodgers,Green Bay,25.6,95.4,18,111.2,2.4,35,87.5,59,14,73,,,
M. Stafford,Detroit,26.9,106,21,86.3,3.1,39,116.3,75,7,82,,,
C. Keenum,Washington,24.8,91.3,10,108,4.5,46,56.3,65,10,75,,,
J. Flacco,Denver,17.3,85.1,10,61.1,3.4,39,61.8,68,7,75,,,
T. Bridgewater,New Orleans,19.5,99.1,8,89.9,2.3,44,76.6,60,13,73,,,
J. Garoppolo on PA,San Francisco,,113.4,12.8571428571429,86.8142857142857,3.32285714285714,43.5428571428571,89.9885714285714,67.2285714285714,9.77142857142857,77,,,
