Name,pos,comp,pct_comp,ttt,,
G. Kittle,TE,85,25.8358662613982,2.38,,
D. Samuel,WR,57,17.3252279635258,2.26,,
E. Sanders,WR,36,10.9422492401216,2.63,,
K. Bourne,WR,30,9.11854103343465,2.63,,
T. Coleman*,RB,21,6.38297872340426,2.43,,
K. Juszczyk,FB,20,6.0790273556231,2.71,,
R. Mostert*,RB,12,3.64741641337386,2.35,,
J. Wilson Jr.*,RB,3,0.911854103343465,2.04,,
D. Pettis,WR,11,3.34346504559271,2.33,,
M. Breida*,RB,19,5.77507598784195,1.98,,
M. Goodwin,WR,12,3.64741641337386,2.81,,
R. Dwelley,TE,15,4.55927051671733,2.64,,
R. James Jr. ,WR,6,1.82370820668693,2.57,,
L. Toilolo,TE,2,0.60790273556231,3.35,,
